1.0,9.38d,sakalan niṣkalan tathā,11.47b,sakalan niṣkalan tathā
1.0,9.1a,jyotirūpāṇi sarvāni,11.54a,jyotirūpāṇi sarvāni
1.0,8.10a,idaṁ jñānam mahādevi,11.45a,idaṁ jñānam mahādevi
1.0,7.4b,pralīnañ ca nigadyate,7.4d,pralīnañ ca nigadyate
1.0,7.2b,utpattiś ca nigadyate,7.2d,utpattiś ca nigadyate
1.0,5.1a,bhagavan devadeveśa,9.19a,bhagavan devadeveśa
1.0,4.65c,tato daśaguṇaṁ caivam,4.68c,tato daśaguṇaṁ caivam
1.0,4.64a,tato daśaguṇaṁ vindyāt,4.67a,tato daśaguṇaṁ vindyāt
1.0,4.37a,aṣṭaiśvaryaguṇopetaḥ,4.41c,aṣṭaiśvaryaguṇopetaḥ
1.0,4.36c,garbhajanmajarāhīnaḥ,4.41a,garbhajanmajarāhīnaḥ
1.0,4.33a,utpattisthitilīnākhyam,7.26a,utpattisthitilīnākhyam
1.0,3.82b,jagatsthāvarajaṅgamam,11.62b,jagatsthāvarajaṅgamam
1.0,3.78b,antarātma-pitāmahāḥ,3.80d,antarātma-pitāmahāḥ
1.0,3.71a,tattvaṁ tiṣṭhanti te sarve,3.73a,tattvaṁ tiṣṭhanti te sarve
1.0,3.44b,bāyur ākāśakam manaḥ,4.76b,bāyur ākāśakam manaḥ
1.0,3.20b,mahāntaḥ saptaparvatāḥ|+,4.16d,mahāntaḥ saptaparvatāḥ
1.0,3.20a,+saptadvīpaṁ samudrañ ca,4.16c,saptadvīpaṁ samudrañ ca
1.0,2.4d,pauruṣo vakṣasi sthitam,3.16d,pauruṣo vakṣasi sthitam
1.0,2.18b,sūkṣmatvān nopalabhyate,2.18d,sūkṣmatvān nopalabhyate
1.0,11.96d,siddhāntan nāma nāmataḥ,11.97d,siddhāntan nāma nāmataḥ
1.0,11.94d,siddhāntan nāma nāmataḥ,11.97d,siddhāntan nāma nāmataḥ
1.0,11.94d,siddhāntan nāma nāmataḥ,11.96d,siddhāntan nāma nāmataḥ
1.0,11.93d,siddhāntan nāma nāmataḥ,11.97d,siddhāntan nāma nāmataḥ
1.0,11.93d,siddhāntan nāma nāmataḥ,11.96d,siddhāntan nāma nāmataḥ
1.0,11.93d,siddhāntan nāma nāmataḥ,11.94d,siddhāntan nāma nāmataḥ
1.0,11.77a,evam akṣarasiddhāntam,11.87a,evam akṣarasiddhāntam
1.0,11.72d,jñānati paramārthavit,11.74d,jñānati paramārthavit
1.0,11.52c,evam etāni rūpāṇi,11.54e,evam etāni rūpāṇi
1.0,11.45b,siddhāntan nāma nāmataḥ,11.97d,siddhāntan nāma nāmataḥ
1.0,11.45b,siddhāntan nāma nāmataḥ,11.96d,siddhāntan nāma nāmataḥ
1.0,11.45b,siddhāntan nāma nāmataḥ,11.94d,siddhāntan nāma nāmataḥ
1.0,11.45b,siddhāntan nāma nāmataḥ,11.93d,siddhāntan nāma nāmataḥ
1.0,11.26d,bāyubhūtas sadāśivaḥ,11.31b,bāyubhūtas sadāśivaḥ
1.0,1.8d,nīlāñjanasamaprabham,1.25d,nīlāñjanasamaprabham
1.0,1.6b,tatra tatraiva labhyate,5.19b,tatra tatraiva labhyate
1.0,1.4c,anādimadhyanidhanam,4.40a,anādimadhyanidhanam
1.0,1.3d,sūryāyutasamaprabham,1.26d,sūryāyutasamaprabham
1.0,1.20a,etat paramanirbāṇam,11.81a,etat paramanirbāṇam
1.0,1.18b,śivaṅ kaivalyam acyutam,5.11b,śivaṅ kaivalyam acyutam
1.0,1.10b,jagatsthāvarajaṅgamam,3.82b,jagatsthāvarajaṅgamam
1.0,1.10b,jagatsthāvarajaṅgamam,11.62b,jagatsthāvarajaṅgamam
0.85,1.6a,yatra yatra samuddīkṣya,5.19a,yatra yatra samudīkṣya
0.8260869565217391,7.27d,jagatsthāvarajaṅgamaḥ,11.62b,jagatsthāvarajaṅgamam
0.8260869565217391,3.82b,jagatsthāvarajaṅgamam,7.27d,jagatsthāvarajaṅgamaḥ
0.8260869565217391,1.10b,jagatsthāvarajaṅgamam,7.27d,jagatsthāvarajaṅgamaḥ
0.8181818181818182,2.9a,acintya-manasāgrāhyam,2.17c,acintyam manasāgrāhyam
0.8095238095238095,4.33c,anādimadhyanidhanaḥ,4.40a,anādimadhyanidhanam
0.8095238095238095,11.25b,nāsikāgre sadāśivam,11.32b,nāsikāgre sadāśivaḥ
0.8095238095238095,1.4c,anādimadhyanidhanam,4.33c,anādimadhyanidhanaḥ
0.8,7.2c,brahmā viṣṇu-śivaś caiva,7.4c,brahmā viṣṇu śivaś caiva
0.7916666666666666,7.3b,sthitir eva nigadyate,7.3d,sthitir evan nigadyate
0.7916666666666666,4.17d,jagat sthāvarajaṅgamam,11.62b,jagatsthāvarajaṅgamam
0.7916666666666666,3.82b,jagatsthāvarajaṅgamam,4.17d,jagat sthāvarajaṅgamam
0.7916666666666666,1.10b,jagatsthāvarajaṅgamam,4.17d,jagat sthāvarajaṅgamam
0.782608695652174,2.7d,ukāraṁ sannidhāpayet,2.13d,oṁkāraṁ sannidhāpayet
0.7727272727272727,4.14d,bāyur ākāśaka-m-manaḥ,4.76b,bāyur ākāśakam manaḥ
0.7727272727272727,3.44b,bāyur ākāśakam manaḥ,4.14d,bāyur ākāśaka-m-manaḥ
0.7619047619047619,1.20c,paramātmā mahādevam,3.78c,paramātmā mahādevo
0.76,4.65a,tato daśaguṇam vindyāt,4.67a,tato daśaguṇaṁ vindyāt
0.76,4.64a,tato daśaguṇaṁ vindyāt,4.65a,tato daśaguṇam vindyāt
0.75,2.16d,śiva-m-eko ’dhitiṣṭhati,3.69b,śiva eko ’dhitiṣṭhati
0.75,11.64d,praṇavaṁ bhedalakṣaṇam,11.87b,praṇavam bhedalakṣaṇam
0.7391304347826086,8.10a,idaṁ jñānam mahādevi,11.33a,evaṁ jñānam mahādevi
0.7391304347826086,11.33a,evaṁ jñānam mahādevi,11.45a,idaṁ jñānam mahādevi
0.7272727272727273,1.20d,parameśvarasaṁjñakam,4.53b,parameśvarasaṅjñakam
0.72,4.24b,rudras tatrādhidevataḥ,4.25b,ugras tatrādhidevataḥ
0.6923076923076923,5.12b,śūnyam atyantaniṣkalam,5.41d,śūnyam atyantanirmalam
0.6923076923076923,3.13c,etat bhūtvā śarīrākhyam,4.2c,etat bhūtaśarīrākhyam
0.68,3.65b,uktas tatrādhidevataḥ,4.25b,ugras tatrādhidevataḥ
0.68,11.4a,akāraṁ pratichedañ ca,11.4c,makāra pratichedañ ca
0.6666666666666666,9.20b,mudrānām uttamañ ca kim,9.20d,kūṭānām uttamañ ca kim
0.6666666666666666,8.7d,vidyate na punarbhavaḥ,9.2d,prāpyate na punarbhavaḥ
0.6666666666666666,11.35c,dehi jñānañ ca siddhāntam,11.36c,idaṁ jñānañ ca siddhāntam
0.6538461538461539,4.17d,jagat sthāvarajaṅgamam,7.27d,jagatsthāvarajaṅgamaḥ
0.6538461538461539,3.65b,uktas tatrādhidevataḥ,4.24b,rudras tatrādhidevataḥ
0.6521739130434783,9.3b,prayogavidhitāni ca,11.57b,prayogavividhāni ca
0.64,4.41c,aṣṭaiśvaryaguṇopetaḥ,5.43a,sarvaiśvaryaguṇopetaḥ
0.64,4.41c,aṣṭaiśvaryaguṇopetaḥ,4.45c,pañcaiśvaryaguṇopetaḥ
0.64,4.37a,aṣṭaiśvaryaguṇopetaḥ,5.43a,sarvaiśvaryaguṇopetaḥ
0.64,4.37a,aṣṭaiśvaryaguṇopetaḥ,4.45c,pañcaiśvaryaguṇopetaḥ
0.64,11.95a,sikāran dakṣiṇe nāse,11.96a,sikāran dakṣiṇe netre
0.6296296296296297,5.21a,tato nirbāṇam ādhikyam,5.41c,evan nirbāṇam ādhikyam
0.6296296296296297,3.21d,bhūḥlokam iti saṅjñikam,4.16b,svarlokam iti saṅjñikam
0.625,8.12d,guṇalakṣaṇam eva ca,11.24d,sukhalakṣaṇam eva ca
0.6206896551724138,3.32c,spṛṣṭavyam adhibhūtañ ca,3.38c,vaktavyam adhibhūtañ ca
0.6153846153846154,7.4d,pralīnañ ca nigadyate,11.92d,praṇavañ ca nigadyate
0.6153846153846154,7.4b,pralīnañ ca nigadyate,11.92d,praṇavañ ca nigadyate
0.6153846153846154,4.45c,pañcaiśvaryaguṇopetaḥ,5.43a,sarvaiśvaryaguṇopetaḥ
0.6153846153846154,11.51d,etatbhūtam idañ jagat,11.55d,evambhūtam idañ jagat
0.6153846153846154,1.28b,śāntaṁ paramanirmalam,4.42d,śūnyaṁ paramanirmalam
0.6086956521739131,9.24c,nādanādāntavinduś ca,9.38b,nādanādāntavindukam
0.6071428571428571,5.41d,śūnyam atyantanirmalam,11.25d,sthānam atyantanirmalam
0.6071428571428571,3.39c,gṛhyamāno ’dhibhūtaś ca,4.24c,abhimāno ’dhibhūtaś ca
0.6071428571428571,3.14c,buddhir adhyavasānatvam,3.62a,buddhir adhyavasāyatve
